D,V_in,R,f_sw,v_out_mean,i_l_mean,v_out_ripple,i_l_ripple,efficiency
0.686538782458434,12.7144232691695,20.7351656818072,18476.5839702967,37.3958552728309,5.75350035597421,0.670130455532427,4.72432820098651,0.921956904899771
0.510963266798839,16.6984139596373,39.5498751863109,33555.3252501726,33.0074003000321,1.70657241417109,0.127085039984463,2.5427487540541,0.966668526316724
0.693627359142338,15.9876249875415,18.3899028681945,72730.4044080957,47.7573718871772,8.47639143232293,0.24766874099819,1.52473428263134,0.915179844217045
0.402514362570488,19.9316129971434,7.11844528315633,54546.9417386429,31.185000065725,7.33218017053766,0.323274592931528,1.4707993234501,0.93482597947193
0.342748105136364,16.4444584312677,9.60549021645521,26237.4261008866,23.6523171667125,3.74647046486541,0.321668100267109,2.14819355589162,0.945335496496413
0.625852329546679,13.8259654568736,5.53776883650763,24089.3618470619,31.0025382553668,14.9630243792872,1.45448419682933,3.59204728807361,0.838966906330473
0.301723501223494,19.2387320245045,40.8226327649723,88957.4843225243,26.6973788497971,0.93656988389366,0.0221816710327001,0.65253391884243,0.968990690550641
0.558841452570027,15.5259218299456,12.7142234095244,82372.8551557614,32.7977075134785,5.84734814510748,0.175008097430894,1.05332377899598,0.931924633149678
0.644660091232907,16.8694292447759,27.4209581067345,98456.5050196608,45.0533961925365,4.62382003617231,0.107579935390208,1.10455350754251,0.949010749587521
0.48111621907034,18.6417935688977,35.3613791953511,30864.1072373546,34.7736187217554,1.89518057629798,0.153291110733476,2.90592213459616,0.967904010537417
0.690131375522473,10.9155332920982,8.87689790984579,81319.4584729084,29.8204430624589,10.8411477235463,0.285095367718908,0.926365244789071,0.84653854519073
0.609514677252676,12.684892017451,46.0752789947793,93037.3424536953,31.2054010647401,1.73443121263757,0.0443699221234348,0.831024152248301,0.960611339020871
0.49754076468904,18.0794341719661,32.3744688573999,83797.9259789642,34.7509530186037,2.13630488811583,0.0637322816481427,1.07344607852505,0.965790030482343
0.396566257781819,15.859236858835,13.8609503230941,17729.916356112,24.988393343272,2.98755380511063,0.403231451255661,3.54724640887298,0.950792263295432
0.553819922286057,10.6930047338582,22.7132493993978,30137.1529044229,22.6266984910553,2.23270705832868,0.183066244748499,1.96501609474884,0.944129582135268
0.382155727235325,17.526789644778,25.684119294514,51351.2354645461,27.3355671529889,1.7225997716982,0.079205052535623,1.30434311506002,0.963617636232544
0.332957984580456,18.7797020811446,27.8288286035975,91594.831297335,27.1974870293331,1.46514518553098,0.0355264914521741,0.682664258167724,0.966035908557558
0.618569781680662,19.3277075860825,23.6274100886602,59293.2243589529,48.1381878348437,5.34144205596474,0.212548111314209,2.01634098856449,0.950001929280388
0.599963307930919,13.6772713940091,23.2373688972812,36039.5824690146,32.3588316713104,3.48101626795334,0.23181995670413,2.27690234648909,0.946440237098879
0.494474137247429,13.1656148491336,33.9503287391613,56972.4995931359,24.9842479565319,1.45572358555086,0.0638705424959585,1.14266638998609,0.95933107934451
0.462410753052147,13.4603658707938,38.4413518621511,14769.7870448219,24.0716144155216,1.16481242045643,0.196047025454642,4.21415549173632,0.961388508356789
0.653934978732399,10.8592461706451,14.1734955254178,64224.8001328904,28.4547569837049,5.80123161416135,0.204413567032324,1.10568517129788,0.906802914860746
0.430503838813725,10.4404350712304,36.6184386557988,22709.6697535319,17.4541566414406,0.836966827464806,0.090357718392197,1.97917778013972,0.952074806866691
0.471795637924969,14.2082690396305,19.4610447341865,96853.5494494749,25.6161124632287,2.49198306664697,0.0641188095273855,0.692117056469778,0.952300544474693
0.411902706488851,19.1258488309496,31.3616084991966,46070.5267772099,31.4716654508512,1.70636610676075,0.089720743627755,1.70998454944124,0.967716593262203
0.307196953175473,18.1416257411169,38.1686702473683,77709.2248038842,25.3263562354259,0.957758229710274,0.0262307077482767,0.717167384874272,0.967177749957309
0.388175993734183,15.1341938901977,32.5362638770065,25001.5298656475,23.802818947914,1.19573295312875,0.1135854755711,2.34974850909634,0.962267046054334
0.585466899486531,18.4643649527702,40.1532919292128,14061.6948237196,43.0362454631049,2.58555633566663,0.446249659434371,7.68774648817658,0.966182606979108
0.40720454962003,19.6605008622891,21.2887263904772,84876.4055424165,31.9516777396877,2.53185672133503,0.0720061564002765,0.943235678722487,0.963394031960951
0.590093101526413,18.8018995408216,48.623552162604,99666.1558999727,44.4638913578609,2.23087665190615,0.0541419153014028,1.11320348562119,0.969373108339274
0.370993126108165,14.9453858928786,13.3071148685486,40418.5437584211,22.5524817677857,2.69435640601041,0.155559176460319,1.37180484938591,0.949166930645595
0.433022529902181,17.4435642660768,8.30613458958042,42667.6415660017,28.7557677347532,6.10604782247757,0.351348301200674,1.77030087714681,0.934664051009245
0.412004590531699,16.3662780514351,25.9837796915201,58157.2929542184,26.774588201568,1.75245364549266,0.0729992412999616,1.15943871259922,0.961937399783339
0.52481053383324,14.672425668185,42.0540658037062,87816.830165125,29.7810898988628,1.49027286160505,0.0423211425965991,0.876852823435971,0.964507200849851
0.358945708233719,11.8764543949367,37.4701882229457,61537.5869221413,17.6909333562006,0.736495435681803,0.0275393175974309,0.69274772497818,0.954901890431078
0.551061581209157,16.0847479256997,45.4361426151057,66000.0779175233,34.6458286610724,1.6984889533171,0.0636656511156226,1.34298123653176,0.966993303758455
0.657885179559791,14.878533899756,5.1892101639519,93720.3226436708,35.1080069539366,19.7757529226538,0.474920857845719,1.04442309523872,0.807268348883186
0.43823924527293,17.1909041061378,11.1914447738281,68483.7575626219,28.9040863925502,4.59749954677329,0.165271046287376,1.10007527465826,0.944521666011539
0.394802360228503,12.465389388659,15.4356980230308,85638.5495182357,19.4845447508,2.08577166751077,0.0581934931140506,0.574667037157367,0.94597931340497
0.651064371116342,10.253500595034,16.2720591175465,97510.5494084112,26.8862586267486,4.7352459593279,0.110321506757159,0.684611968361139,0.914962989985736
0.676066135657588,17.7690059154008,26.3965981582209,32374.7224255147,51.6583692261854,6.04138313717035,0.408672919113708,3.71061811922573,0.941746277126414
0.347830384500023,17.3741997154103,34.9514009269602,95423.8294368595,25.7373722912553,1.1291172843465,0.0268417169564179,0.633308745106493,0.966095271501203
0.536367237687984,11.3547980805569,42.4666183328932,90429.5227265535,23.464940143646,1.19178428429476,0.0327735718240453,0.673490415225292,0.958107307509689
0.542921837496774,13.7352886040315,20.8893689721911,89390.6498560145,28.5193210525332,2.98691860794004,0.0829199586777649,0.834224624103405,0.949056058327621
0.629300025221608,11.799089417303,24.2117176541801,49982.3932191601,29.9459623309813,3.33649222181679,0.155723220061549,1.48555657095956,0.940832558191293
0.378530096110137,10.3291598123806,47.5353854837002,47018.7514613381,15.8180661857195,0.535446724842856,0.0267895667811106,0.831561395187697,0.951718460235485
0.546882318773153,18.5172952647625,14.9099164142589,80757.1157325951,38.5622679118724,5.70789991724324,0.175146088057424,1.25398007097387,0.943617583953022
0.328827011017692,17.831092422346,41.3233903300714,75324.9084265379,25.7062608093793,0.92684795013047,0.0271563774541879,0.778407162637123,0.967599039605992
0.52079733769346,17.9997605140681,36.3081980583787,65348.1807277921,36.3129540024094,2.08707310461303,0.0797062060759965,1.43450471772044,0.966749764285767
0.531207432660356,12.5946595288029,19.9197969471068,41526.1191970491,25.4309528233916,2.72330954189566,0.163312911712139,1.61112496975207,0.946579114481679
0.360402322515418,16.1125127231224,28.3590911032171,25641.763746765,24.2449924856198,1.33666589754447,0.120162632063854,2.2646597419435,0.962422258458806
0.44854981593829,13.9990680227704,10.5280138122678,19760.8453851092,23.7766910001509,4.09542221482994,0.51263721466097,3.1776370203539,0.936609537655292
0.500931397030195,11.2038353170544,34.4635023756736,27868.2084254712,21.4371981020108,1.24637394534827,0.111809270387971,2.01389080768417,0.9549080476106
0.640812310065238,12.3260817149474,19.3633056292418,38392.6047009493,31.9289473951683,4.59075014732193,0.275225310046965,2.05735061721745,0.93042421120838
0.563447282106111,19.0105281187118,45.8254121315449,12650.8833233358,42.2271881206907,2.11080972852886,0.410410271522759,8.46694268386119,0.969693931067484
0.672585961251595,19.8804901634377,48.9030973104716,28304.283693639,58.52784642871,3.65534927538644,0.284394902314247,4.72413954419686,0.963901715749076
0.680612308120031,10.7126242001142,6.61290399197846,74447.8931029706,27.3975235007504,12.9718200308161,0.378762066661781,0.979362018046322,0.81683363764767
0.592805345398378,12.0886815168751,11.3013786843956,84321.1111835473,27.1120099176421,5.89153170360076,0.168657662637542,0.849874357848882,0.913239835010759
0.350525510462718,13.5821023820955,16.7283079213854,13564.4411885634,19.8813152959239,1.8299153556273,0.307121925748289,3.50981902199919,0.950692811752918
0.507644475036459,12.9586067174414,49.9660542146399,39016.809874802,25.3571283675696,1.03073304266898,0.066028726468864,1.68603356486302,0.963430908986228
0.623426097375897,17.2719613686241,22.1675697840695,77463.1701719593,43.3568941529968,5.19385547482659,0.15740908406357,1.39005303374046,0.945293617117397
0.375927138986239,11.9359861120836,18.6019522086162,78814.3857901399,18.1286869842562,1.56160981237315,0.0464842694766321,0.569320063223335,0.947858136432552
0.320781772204788,11.1644430758583,40.0312989486831,79879.2243883295,15.6389322220108,0.575172459188596,0.0156885663243686,0.448345594612024,0.951435531201249
0.318819972262314,14.3989876556264,37.0382395711468,22543.5883719921,20.3013417459692,0.804660160723736,0.077516986185684,2.03635941591074,0.960405610753368
0.636758856774242,18.9696114396259,17.8651048456304,55437.0587491836,48.7941348346529,7.51912004975299,0.31371614275355,2.17887968198271,0.934338448442045
0.336120555112162,10.5926368381884,12.5379980820121,76139.3600413927,14.9398681236595,1.79485489030576,0.0526022613577663,0.467616614089984,0.936336391791912
0.613237828770893,15.291600675826,47.9742805511281,47849.2671313269,38.1429856995373,2.05571178171796,0.101896639503436,1.95977672367226,0.964729872238225
0.464586104968054,12.2504023768658,35.9372503774975,70971.9022912836,21.9180718223293,1.13911576533871,0.0399242963804812,0.801918300174753,0.957947326542267
0.476329634177301,19.7087491736037,43.520028305645,92721.6304666621,36.5565313214484,1.6040496747674,0.0431521414962557,1.01247802014549,0.971323545786721
0.670029546038619,14.0439437009697,29.808476215056,62731.8263184632,40.2073449918007,4.08780872466423,0.144069365390041,1.50001327472641,0.94469446488923
0.69920405111091,16.7917749662944,30.392788715498,73866.8163314862,52.5456124132652,5.74769777739776,0.163651677625761,1.58946569851978,0.941264838144369
0.605275047297784,11.6006146657498,29.6012990285319,60304.5544494415,27.9010756631934,2.38789702980376,0.0946047263739576,1.16435029735305,0.949367864447137
0.66545514734479,18.3670597384394,42.8163826445935,33320.8209343746,52.7350022855609,3.68158340742923,0.245975636005358,3.66811324024876,0.96053608038698
0.488293980802295,14.115384810557,33.1883675340439,45822.4110634736,26.505477158293,1.56073514633663,0.0851046264511968,1.50416734513504,0.960867336288209
0.516321480018992,19.4640559227932,10.1093319945779,36654.1009379766,37.5444112333379,7.67831700025886,0.523143050484883,2.74176965306948,0.932972312190821
0.633650309275498,14.55411721392,26.9354453062092,53631.1482334173,37.6557399266921,3.81602487237743,0.165173199692022,1.71956431618706,0.947853344409516
0.417878111492589,18.2747064197977,5.96161927635542,35036.4215132708,28.9602032353641,8.34494422294261,0.579385001682867,2.17961751712971,0.922497347517712
0.564323545547263,11.5403643684865,29.2413792632614,37797.9057657105,25.2061143413378,1.97853600841984,0.128697017173159,1.72297888081397,0.95159131688703
0.569861507096237,15.4693558407306,30.8045592169179,44859.4917849226,34.4861760689803,2.6026857435661,0.142214872245399,1.965111525443,0.958917226615662
0.535984233043569,10.0128090349153,25.0716093167736,52590.0223514734,20.399429577264,1.75348911385901,0.0829248072609974,1.02048022252655,0.945354787828412
0.457581938996857,10.168411006707,44.5229500124216,63553.3553383186,17.8787348175997,0.740318681623206,0.0289123398789918,0.732122041424395,0.953713285837925
0.579906308488603,15.3675571842147,17.3938978300801,51621.6676940769,34.4342392897832,4.71245719679655,0.222392112810932,1.72635712003701,0.941308141835842
0.47219989006099,19.5422730213626,28.5819697200159,49365.5052959651,35.7705715247912,2.37117849747979,0.119711540425413,1.86929296416692,0.966095989076053
0.600398797904632,12.1271654457997,14.7028129977216,29071.2221601518,28.0924025665217,4.78147251494554,0.394607171511037,2.50458529591132,0.925670379075862
0.57559883658165,12.8840058723308,22.0209178764044,17151.6110982728,28.7254175568406,3.0736496811141,0.437769922727948,4.3238030224295,0.946219735663239
0.309112383043342,15.0680925843445,43.9333477154961,20491.2983939312,20.9941733671234,0.691667027334905,0.0720860796239833,2.27303019902531,0.962604545093872
0.387675236775029,14.7813749794199,15.9156191946785,71365.3113991175,22.980027407119,2.35800748660576,0.0784346383672643,0.802963363105002,0.95195743701502
0.422997375159085,15.627098372042,44.8617772057279,11261.2548318552,26.1709555095941,1.01103296502447,0.219126040391323,5.86988012563924,0.966315669366135
0.447155882155895,16.2211695934069,41.4656036470574,95794.5352720446,28.3674294100062,1.23745466596802,0.0319337708033082,0.757182168955827,0.966808613729562
0.314624163745399,13.03519727961,49.515224423162,10734.2799922983,18.2283511717337,0.537130540118551,0.107901576489232,3.82064567562625,0.958425957036485
0.583578614462385,17.0395973175679,33.7197382150916,60510.6621959924,39.3497931592273,2.8023684487954,0.112544874825505,1.64333759253453,0.961648041476663
0.3673326225538,11.4005284834208,24.4027998853261,20945.7867747743,17.1124105023341,1.10839890992918,0.122979961449149,1.99934529618995,0.949645789669994
0.443249066879097,14.4969356911982,38.9069585034978,41052.1154016585,25.084365424882,1.15801686273044,0.0696126434797395,1.56526725964291,0.963358336860732
0.454303060352281,13.3163916478199,31.8653029416449,86922.4264906984,23.3999246826246,1.34568958038488,0.0383804647122789,0.695985802824027,0.958913467327407
0.486094111501642,13.2425602574241,11.8013632326668,68522.0518571909,24.1069939268709,3.97490988113626,0.144910842597605,0.939424665180102,0.935523485805269
0.325850646736876,11.0061649003705,47.0614899341237,66911.2570951553,15.541501814153,0.489859109546477,0.0160822462968153,0.535988428042567,0.951947703091382
0.352103399222157,16.5140990340587,9.19708589694495,56712.4297297563,24.0559837926607,4.03707835326813,0.162392079619743,1.02529029926794,0.943786887524799
0.424402916190251,17.6308774633253,8.05191304883827,15953.0978274438,28.6296563018194,6.17729686641858,0.945911246328998,4.6903716703574,0.934675356463757
0.663634132932354,15.7588615836689,46.8018281185604,69727.998279953,45.0181016519708,2.859647097236,0.0915473710945745,1.4998449261501,0.960891287451197
0.513610491001297,16.9186323715558,7.40306831492828,43881.0528169472,31.8019839779518,8.83198369047158,0.50280467218818,1.98025947911377,0.914267242914192
