model,output,nominal,empirical
GP-SE,v_out_mean,0.1,0.2
GP-SE,v_out_mean,0.2,0.27
GP-SE,v_out_mean,0.3,0.34
GP-SE,v_out_mean,0.4,0.48
GP-SE,v_out_mean,0.5,0.57
GP-SE,v_out_mean,0.6,0.64
GP-SE,v_out_mean,0.7,0.69
GP-SE,v_out_mean,0.8,0.75
GP-SE,v_out_mean,0.9,0.86
GP-SE,v_out_mean,0.95,0.91
GP-SE,i_l_mean,0.1,0.11
GP-SE,i_l_mean,0.2,0.25
GP-SE,i_l_mean,0.3,0.34
GP-SE,i_l_mean,0.4,0.45
GP-SE,i_l_mean,0.5,0.56
GP-SE,i_l_mean,0.6,0.62
GP-SE,i_l_mean,0.7,0.68
GP-SE,i_l_mean,0.8,0.79
GP-SE,i_l_mean,0.9,0.82
GP-SE,i_l_mean,0.95,0.85
GP-SE,v_out_ripple,0.1,0.06
GP-SE,v_out_ripple,0.2,0.14
GP-SE,v_out_ripple,0.3,0.23
GP-SE,v_out_ripple,0.4,0.32
GP-SE,v_out_ripple,0.5,0.38
GP-SE,v_out_ripple,0.6,0.45
GP-SE,v_out_ripple,0.7,0.58
GP-SE,v_out_ripple,0.8,0.67
GP-SE,v_out_ripple,0.9,0.75
GP-SE,v_out_ripple,0.95,0.79
GP-SE,i_l_ripple,0.1,0.3
GP-SE,i_l_ripple,0.2,0.44
GP-SE,i_l_ripple,0.3,0.54
GP-SE,i_l_ripple,0.4,0.64
GP-SE,i_l_ripple,0.5,0.73
GP-SE,i_l_ripple,0.6,0.78
GP-SE,i_l_ripple,0.7,0.81
GP-SE,i_l_ripple,0.8,0.85
GP-SE,i_l_ripple,0.9,0.87
GP-SE,i_l_ripple,0.95,0.92
GP-SE,efficiency,0.1,0.09
GP-SE,efficiency,0.2,0.2
GP-SE,efficiency,0.3,0.28
GP-SE,efficiency,0.4,0.37
GP-SE,efficiency,0.5,0.49
GP-SE,efficiency,0.6,0.54
GP-SE,efficiency,0.7,0.61
GP-SE,efficiency,0.8,0.68
GP-SE,efficiency,0.9,0.77
GP-SE,efficiency,0.95,0.86
GP-M52,v_out_mean,0.1,0.2
GP-M52,v_out_mean,0.2,0.41
GP-M52,v_out_mean,0.3,0.48
GP-M52,v_out_mean,0.4,0.67
GP-M52,v_out_mean,0.5,0.72
GP-M52,v_out_mean,0.6,0.77
GP-M52,v_out_mean,0.7,0.82
GP-M52,v_out_mean,0.8,0.89
GP-M52,v_out_mean,0.9,0.93
GP-M52,v_out_mean,0.95,0.94
GP-M52,i_l_mean,0.1,0.24
GP-M52,i_l_mean,0.2,0.49
GP-M52,i_l_mean,0.3,0.58
GP-M52,i_l_mean,0.4,0.68
GP-M52,i_l_mean,0.5,0.74
GP-M52,i_l_mean,0.6,0.8
GP-M52,i_l_mean,0.7,0.82
GP-M52,i_l_mean,0.8,0.86
GP-M52,i_l_mean,0.9,0.88
GP-M52,i_l_mean,0.95,0.9
GP-M52,v_out_ripple,0.1,0.15
GP-M52,v_out_ripple,0.2,0.25
GP-M52,v_out_ripple,0.3,0.33
GP-M52,v_out_ripple,0.4,0.46
GP-M52,v_out_ripple,0.5,0.52
GP-M52,v_out_ripple,0.6,0.59
GP-M52,v_out_ripple,0.7,0.66
GP-M52,v_out_ripple,0.8,0.74
GP-M52,v_out_ripple,0.9,0.86
GP-M52,v_out_ripple,0.95,0.9
GP-M52,i_l_ripple,0.1,0.4
GP-M52,i_l_ripple,0.2,0.61
GP-M52,i_l_ripple,0.3,0.71
GP-M52,i_l_ripple,0.4,0.76
GP-M52,i_l_ripple,0.5,0.79
GP-M52,i_l_ripple,0.6,0.86
GP-M52,i_l_ripple,0.7,0.89
GP-M52,i_l_ripple,0.8,0.9
GP-M52,i_l_ripple,0.9,0.91
GP-M52,i_l_ripple,0.95,0.91
GP-M52,efficiency,0.1,0.11
GP-M52,efficiency,0.2,0.27
GP-M52,efficiency,0.3,0.37
GP-M52,efficiency,0.4,0.5
GP-M52,efficiency,0.5,0.63
GP-M52,efficiency,0.6,0.7
GP-M52,efficiency,0.7,0.74
GP-M52,efficiency,0.8,0.79
GP-M52,efficiency,0.9,0.86
GP-M52,efficiency,0.95,0.9
GP-M32,v_out_mean,0.1,0.21
GP-M32,v_out_mean,0.2,0.34
GP-M32,v_out_mean,0.3,0.48
GP-M32,v_out_mean,0.4,0.61
GP-M32,v_out_mean,0.5,0.7
GP-M32,v_out_mean,0.6,0.76
GP-M32,v_out_mean,0.7,0.8
GP-M32,v_out_mean,0.8,0.84
GP-M32,v_out_mean,0.9,0.9
GP-M32,v_out_mean,0.95,0.93
GP-M32,i_l_mean,0.1,0.23
GP-M32,i_l_mean,0.2,0.42
GP-M32,i_l_mean,0.3,0.58
GP-M32,i_l_mean,0.4,0.65
GP-M32,i_l_mean,0.5,0.76
GP-M32,i_l_mean,0.6,0.83
GP-M32,i_l_mean,0.7,0.86
GP-M32,i_l_mean,0.8,0.88
GP-M32,i_l_mean,0.9,0.92
GP-M32,i_l_mean,0.95,0.93
GP-M32,v_out_ripple,0.1,0.18
GP-M32,v_out_ripple,0.2,0.32
GP-M32,v_out_ripple,0.3,0.43
GP-M32,v_out_ripple,0.4,0.54
GP-M32,v_out_ripple,0.5,0.65
GP-M32,v_out_ripple,0.6,0.72
GP-M32,v_out_ripple,0.7,0.79
GP-M32,v_out_ripple,0.8,0.85
GP-M32,v_out_ripple,0.9,0.89
GP-M32,v_out_ripple,0.95,0.89
GP-M32,i_l_ripple,0.1,0.3
GP-M32,i_l_ripple,0.2,0.54
GP-M32,i_l_ripple,0.3,0.65
GP-M32,i_l_ripple,0.4,0.74
GP-M32,i_l_ripple,0.5,0.75
GP-M32,i_l_ripple,0.6,0.8
GP-M32,i_l_ripple,0.7,0.86
GP-M32,i_l_ripple,0.8,0.93
GP-M32,i_l_ripple,0.9,0.95
GP-M32,i_l_ripple,0.95,0.96
GP-M32,efficiency,0.1,0.19
GP-M32,efficiency,0.2,0.36
GP-M32,efficiency,0.3,0.49
GP-M32,efficiency,0.4,0.57
GP-M32,efficiency,0.5,0.71
GP-M32,efficiency,0.6,0.75
GP-M32,efficiency,0.7,0.85
GP-M32,efficiency,0.8,0.85
GP-M32,efficiency,0.9,0.9
GP-M32,efficiency,0.95,0.92
GP-SE-noARD,v_out_mean,0.1,0.2
GP-SE-noARD,v_out_mean,0.2,0.27
GP-SE-noARD,v_out_mean,0.3,0.34
GP-SE-noARD,v_out_mean,0.4,0.48
GP-SE-noARD,v_out_mean,0.5,0.57
GP-SE-noARD,v_out_mean,0.6,0.64
GP-SE-noARD,v_out_mean,0.7,0.69
GP-SE-noARD,v_out_mean,0.8,0.75
GP-SE-noARD,v_out_mean,0.9,0.86
GP-SE-noARD,v_out_mean,0.95,0.91
GP-SE-noARD,i_l_mean,0.1,0.11
GP-SE-noARD,i_l_mean,0.2,0.25
GP-SE-noARD,i_l_mean,0.3,0.34
GP-SE-noARD,i_l_mean,0.4,0.45
GP-SE-noARD,i_l_mean,0.5,0.56
GP-SE-noARD,i_l_mean,0.6,0.62
GP-SE-noARD,i_l_mean,0.7,0.68
GP-SE-noARD,i_l_mean,0.8,0.79
GP-SE-noARD,i_l_mean,0.9,0.82
GP-SE-noARD,i_l_mean,0.95,0.85
GP-SE-noARD,v_out_ripple,0.1,0.06
GP-SE-noARD,v_out_ripple,0.2,0.14
GP-SE-noARD,v_out_ripple,0.3,0.23
GP-SE-noARD,v_out_ripple,0.4,0.32
GP-SE-noARD,v_out_ripple,0.5,0.38
GP-SE-noARD,v_out_ripple,0.6,0.45
GP-SE-noARD,v_out_ripple,0.7,0.58
GP-SE-noARD,v_out_ripple,0.8,0.67
GP-SE-noARD,v_out_ripple,0.9,0.75
GP-SE-noARD,v_out_ripple,0.95,0.79
GP-SE-noARD,i_l_ripple,0.1,0.3
GP-SE-noARD,i_l_ripple,0.2,0.44
GP-SE-noARD,i_l_ripple,0.3,0.54
GP-SE-noARD,i_l_ripple,0.4,0.64
GP-SE-noARD,i_l_ripple,0.5,0.73
GP-SE-noARD,i_l_ripple,0.6,0.78
GP-SE-noARD,i_l_ripple,0.7,0.81
GP-SE-noARD,i_l_ripple,0.8,0.85
GP-SE-noARD,i_l_ripple,0.9,0.87
GP-SE-noARD,i_l_ripple,0.95,0.92
GP-SE-noARD,efficiency,0.1,0.09
GP-SE-noARD,efficiency,0.2,0.2
GP-SE-noARD,efficiency,0.3,0.28
GP-SE-noARD,efficiency,0.4,0.37
GP-SE-noARD,efficiency,0.5,0.49
GP-SE-noARD,efficiency,0.6,0.54
GP-SE-noARD,efficiency,0.7,0.61
GP-SE-noARD,efficiency,0.8,0.68
GP-SE-noARD,efficiency,0.9,0.77
GP-SE-noARD,efficiency,0.95,0.86
